freq/Hz,Z,pressure_mag,pressure_phase,flow_mag,flow_phase
1.0,(1+12.088905785083487j),1.0,1.8989658055298684,12.130195508755207,0.41070204573960445
2.0,(1+24.8940088140805j),1.0,2.1047902453140135,24.914085871962424,0.5741426403699765
3.0,(1+37.53995689998562j),1.0,5.583446456461628,37.553273679571234,4.039282114637023
4.0,(1+50.14611625011777j),1.0,3.2298801181919945,50.15608612093178,1.6790228724055485
5.0,(1+62.736360105940726j),1.0,0.6372756678768676,62.74432945965931,-0.9175822888936223
6.0,(1+75.31864621460909j),1.0,5.582040201436025,75.32528438447112,4.02452001936171
7.0,(1+87.89638503918911j),1.0,1.5045536015137257,87.90207337120887,-0.054866183944637825
8.0,(1+100.47128181121391j),1.0,2.1258913935632786,100.4762582344126,0.5650478310069122
9.0,(1+113.04428388153525j),1.0,5.651666633023435,113.04870684041074,4.089716166297251
10.0,(1+125.61595966066416j),1.0,2.7728907138049212,125.61993998354562,1.2100549907332685
11.0,(1+138.18667086438037j),1.0,1.7632259238341983,138.19028911099576,0.19966605869095688
12.0,(1+150.75665863653708j),1.0,4.434353507170118,150.75997520314658,2.8701902892737365
13.0,(1+163.32608992287882j),1.0,2.2813832479965446,163.3291512544417,0.7167095652008468
14.0,(1+175.89508397036587j),1.0,0.8048156882638671,175.89792655100305,-0.7602954925691501
15.0,(1+188.4637282267692j),1.0,4.155601520581945,188.46638123849442,2.590111204788778
16.0,(1+201.03208827791704j),1.0,3.7215498559492888,201.03457542766176,2.1557278183870285
17.0,(1+213.60021427767796j),1.0,3.4737505485395177,213.60255508647347,1.9076358307849017
18.0,(1+226.16814523461645j),1.0,2.8430638081719968,226.17035596838627,1.2766889417136873
19.0,(1+238.73591194496765j),1.0,0.5813076378187702,238.73800630020213,-0.9852999846315159
20.0,(1+251.30353904571967j),1.0,2.336682021655629,251.30552866362402,0.7698649254187253
21.0,(1+263.87104648110096j),1.0,0.9342956899332617,263.8729413392577,-0.6327109250837573
22.0,(1+276.4384505691165j),1.0,2.3079562020126274,276.44025928408814,0.7407773012162264
23.0,(1+289.00576478985766j),1.0,4.290046672011131,289.0074948539753,2.7227104699992224
24.0,(1+301.57300037673366j),1.0,0.8426172270828519,301.57465834553375,-0.724863165150239
25.0,(1+314.1401667658083j),1.0,3.582039547418645,314.1417584079676,2.0144265022541505
26.0,(1+326.7072719414433j),1.0,4.117891284778387,326.70880235986937,2.5501557924459526
27.0,(1+339.27432270513185j),1.0,3.5656771472640942,339.2757964356225,1.99782827931662
28.0,(1+351.84132488672554j),1.0,1.598217504439847,351.8427459790046,0.03026336028979215
29.0,(1+364.40828351195825j),1.0,2.983478602784386,364.409655596736,1.415426443822912
30.0,(1+376.97520293646596j),1.0,0.36602182737079897,376.9765292813197,-1.2021218112721328
31.0,(1+389.5420869538674j),1.0,2.0982974358372415,389.54337051010685,0.5300682201114784
32.0,(1+402.1089388835787j),1.0,0.8601040056244779,402.1101823257869,-0.7082054380355988
33.0,(1+414.6757616426625j),1.0,2.8090700055452222,414.67696740224466,1.2406851967458914
34.0,(1+427.2425578049979j),1.0,4.331101056473962,427.24372809879486,2.762645316204485
35.0,(1+439.809329650306j),1.0,2.712450152254284,439.8104665051203,1.1439275341084152
36.0,(1+452.3760792050059j),1.0,0.8991767986831586,452.3771844787199,-0.6694089815839063
37.0,(1+464.9428082764441j),1.0,4.102636829885077,464.9438836762844,2.5339913019416085
38.0,(1+477.5095184817202j),1.0,5.166297943632682,477.5105655801181,3.597595812868251
39.0,(1+490.07621127207756j),1.0,0.707501414540629,490.0772315204962,-0.8612544161250449
40.0,(1+502.642887953635j),1.0,2.2595150854122985,502.64388269466735,0.6907082400258138
