freq,Z,pressure_mag,pressure_phase,flow_mag,flow_phase
1.0,(1.86-3.548042759164101j),1.0,5.677137220457613,4.0060213954566954,6.765088252504654
2.0,(1.86-1.6703488220135874j),1.0,5.384546314581344,2.4999330365436148,6.116275827387029
3.0,(1.86-0.9983741507107657j),1.0,2.6082472599792563,2.1110070925526148,3.1008688393758144
4.0,(1.86-0.6278292958698675j),1.0,3.062898169469067,1.963102041349979,3.388432296900719
5.0,(1.86-0.37785636761373803j),1.0,2.2562830420657556,1.8979924748392045,2.4567042459841804
6.0,(1.86-0.18816940264999338j),1.0,5.1530569425884005,1.8694939754098316,5.25388025876147
7.0,(1.86-0.03293155956761129j),1.0,3.2321144845902428,1.8602915060859564,3.249817774468964
8.0,(1.86+0.10077558233891892j),1.0,1.2911324780293605,1.8627280311402814,1.2370049801012186
9.0,(1.86+0.22012892346154828j),1.0,5.862002710610253,1.8729807107774337,5.744201778993363
10.0,(1.86+0.32943460403544683j),1.0,4.686625212829978,1.888948691292591,4.5113277661528235
11.0,(1.86+0.4314328951193592j),1.0,6.1304647088220365,1.909380617632606,5.902542076170425
12.0,(1.86+0.5279506440857823j),1.0,3.9859003774480186,1.933476630991591,3.7093303033998404
13.0,(1.86+0.6202525914233674j),1.0,2.660240796306099,1.960692040369268,2.3383680252327723
14.0,(1.86+0.7092421231954366j),1.0,5.879268430772944,1.9906341676246722,5.5149746218807945
15.0,(1.86+0.7955817225150932j),1.0,1.234975693721333,2.0230052588167147,0.8307932032961403
16.0,(1.86+0.8797682517171648j),1.0,3.898876486400865,2.057569482843648,3.4570663963741133
17.0,(1.86+0.9621816643518134j),1.0,5.679292859294331,2.0941331273858466,5.201899676190152
18.0,(1.86+1.0431174798469427j),1.0,3.930127250244373,2.1325323155258955,3.4190180653418585
19.0,(1.86+1.1228090030140556j),1.0,3.7928830077210276,2.1726251534145087,3.249776123050798
20.0,(1.86+1.2014428777023551j),1.0,5.523665101619984,2.21428656419663,4.950151402973465
21.0,(1.86+1.2791701965516713j),1.0,1.879844034129241,2.257404791291549,1.2774032996530833
22.0,(1.86+1.3561145808127744j),1.0,2.387476037572084,2.3018789621292006,1.7574896629855892
23.0,(1.86+1.4323781523884755j),1.0,4.220574337249342,2.3476173392271202,3.564335492181887
24.0,(1.86+1.508046012864449j),1.0,3.3826084765402236,2.394536025395392,2.7013303941263893
25.0,(1.86+1.5831896475726632j),1.0,5.387530156010074,2.4425579747840693,4.68235304607371
26.0,(1.86+1.657869544101705j),1.0,1.681054320569222,2.491612214061409,0.9530512515899991
27.0,(1.86+1.7321372289159267j),1.0,3.7147302968958273,2.541633211105911,2.9649122916400747
28.0,(1.86+1.8060368675562026j),1.0,4.219642436993699,2.5925603497261585,3.4489629568735243
29.0,(1.86+1.8796065337646648j),1.0,2.9747221341769294,2.6443374825787305,2.1840810785287306
30.0,(1.86+1.9528792247844942j),1.0,3.220256735210115,2.6969125433715657,2.410504047309268
31.0,(1.86+2.0258836801500753j),1.0,4.072009724708529,2.7502372053149187,3.243948672061244
32.0,(1.86+2.098645046953993j),1.0,5.783433406922277,2.8042665766835593,4.937823586167628
33.0,(1.86+2.1711854241563993j),1.0,5.62106898230134,2.85895892696436,4.758629086813052
34.0,(1.86+2.2435243108397804j),1.0,5.45167151177484,2.9142754388233643,4.573081891305577
35.0,(1.86+2.3156789776200526j),1.0,4.669032961322554,2.9701799823228647,3.7749379967538
36.0,(1.86+2.387664776155808j),1.0,3.0081034093031866,3.02663890864027,2.0991137210271926
37.0,(1.86+2.4594953984668733j),1.0,4.498987089700783,3.083620861111126,3.575681594856805
38.0,(1.86+2.531183095307828j),1.0,5.448847571276031,3.1410966018211086,4.5117754026307395
39.0,(1.86+2.6027388609456046j),1.0,2.3073692897709397,3.1990388522611637,1.357051587217658
40.0,(1.86+2.674172590220441j),1.0,5.872350713284976,3.2574221467728592,4.909282297558473
