pressure,flow
2.56152,-146.783
0.158488,-257.234
0.73339,506.083
7.92842,567.038
6.42212,-808.948
-0.545562,-177.771
3.00419,502.39
2.4933,-629.598
-3.77219,-287.247
-2.26292,373.104
0.0639683,103.204
1.93667,275.372
1.75354,-523.361
-6.55624,-715.446
-5.60481,864.421
2.46526,316.506
0.598551,-332.875
0.0148167,43.4131
-4.42368,-954.289
-11.0841,117.927
-1.24463,1409.08
8.08567,301.312
6.98497,-359.408
2.98002,-304.596
3.87766,443.723
4.60649,-715.613
-8.19309,-1159.49
-7.89334,1059.8
-0.839498,-163.825
-4.63047,220.498
7.23077,1401.86
7.02541,-1471.92
-4.66535,105.247
8.20898,1483.68
9.20289,-1232.88
-2.69762,-489.23
0.254308,664.452
3.96631,4.71285
1.73253,-353.085
-0.881379,-52.9043
0.61652,176.508
-0.801542,-432.336
-3.19095,185.986
1.56691,454.004
1.84661,-325.761
-0.413771,45.1566
2.11109,283.402
1.98789,-379.781
-3.71858,-514.849
-3.47597,613.018
3.73584,470.015
3.71734,-279.578
1.802,-152.194
-2.32387,-635.194
-4.97921,342.938
0.302697,219.258
-2.95694,-433.312
0.00849628,897.418
3.41857,-601.323
-4.48911,-219.352
1.53351,742.945
-1.1041,-1048.93
-4.31124,828.976
4.52007,-24.9407
-7.03076,-1379.86
-6.66922,1382.87
5.01721,306.211
2.75638,-171.608
3.47586,-147.649
-5.04615,-1164.54
-7.75191,797.36
1.28669,366.743
-2.13236,-613.718
-4.04368,211.194
-1.96297,77.2464
-2.65447,-227.964
-6.42966,-361.205
-4.31093,894.225
5.16433,479.134
2.36374,-690.622
-1.12691,37.8094
-0.391351,77.2445
4.52804,973.918
10.0395,-528.346
-5.42714,-1680.09
-7.01036,1333.12
3.55236,-113.376
-6.94763,-1054.21
-5.95907,971.684
-0.450124,-175.658
-3.39636,36.3791
-0.123051,242.641
-1.0314,-145.033
1.65981,524.977
1.72726,-680.666
-5.23426,-160.669
1.45961,1137.12
8.50577,79.213
5.73951,-376.858
3.45607,-96.4062
