pressure,flow
-8.19897,-4097.76
-10.0866,-3616.52
-11.7139,-3032.18
-13.0317,-2349.56
-13.994,-1578.82
-14.5618,-736.679
-14.7057,152.907
-14.4098,1058.81
-13.6751,1943.54
-12.5221,2764.92
-10.9926,3478.52
-9.1498,4040.65
-7.07773,4411.8
-4.87773,4560.14
-2.66418,4464.91
-0.558331,4119.14
1.31899,3531.71
2.85535,2728.24
3.95489,1750.81
4.54601,656.332
4.58796,-486.324
4.07573,-1600.33
3.04281,-2605.83
1.56129,-3425.36
-0.260637,-3989.54
-2.28397,-4242.36
-4.34661,-4145.97
-6.27317,-3684.2
-7.88613,-2864.85
-9.01781,-1720.26
-9.5221,-306.182
-9.2853,1301
-8.23517,3008.71
-6.34751,4713.78
-3.64975,6309.06
-0.221202,7690.36
3.81012,8763.5
8.27395,9450.63
12.9672,9695.69
17.6654,9468.4
22.1362,8766.51
26.1533,7616.23
29.5095,6070.74
32.0298,4206.85
33.5814,2120.15
34.0816,-81.1161
33.5021,-2282.91
31.8705,-4372.59
29.2673,-6245.85
25.821,-7813.01
21.6988,-9004.14
17.0968,-9772.75
12.2274,-10097.8
7.30713,-9984.14
2.54406,-9460.7
-1.87324,-8577.84
-5.78514,-7402.94
-9.068,-6015.23
-11.6386,-4500.12
-13.4559,-2943.49
-14.5196,-1426.29
-14.8669,-19.9415
-14.5667,1217.34
-13.7126,2242.88
-12.4152,3030.65
-10.7934,3571.05
-8.96727,3869.51
-7.05104,3944.1
-5.14757,3822.54
-3.3445,3538.79
-1.71213,3129.57
-0.302776,2631.2
0.848329,2076.95
1.72104,1495.14
2.30759,907.989
2.60951,331.435
2.63466,-224.344
2.39474,-753.707
1.90338,-1253.89
1.17526,-1723.15
0.22605,-2158.92
-0.926824,-2556.27
-2.26272,-2906.85
-3.75597,-3198.48
-5.37408,-3415.4
-7.07619,-3539.3
-8.81215,-3550.92
-10.5226,-3432.11
-12.1402,-3168.19
-13.5915,-2750.29
-14.8007,-2177.46
-15.694,-1458.25
-16.204,-611.644
-16.2753,332.919
-15.8693,1336.42
-14.9682,2352.06
-13.5788,3327.88
-11.7336,4210.03
-9.49119,4946.47
-6.93438,5490.74
-4.16654,5805.58
-1.30635,5866.02
1.51881,5661.7
4.18038,5198.21
6.55646,4497.27
8.53952,3595.73
10.0433,2543.39
11.0084,1399.86
11.4062,230.576
11.2403,-897.641
10.5466,-1921.21
9.39032,-2784.2
7.86113,-3442.24
6.06706,-3865.55
4.12664,-4040.9
2.16065,-3972.36
0.28377,-3680.73
-1.40324,-3201.7
-2.82011,-2582.97
-3.91201,-1880.41
-4.65252,-1153.7
-5.04436,-461.734
-5.11786,141.902
-4.92744,612.909
-4.54616,919.517
-4.05909,1044.68
-3.55579,987.109
-3.12262,760.992
-2.83552,394.593
-2.75368,-72.3129
-2.91473,-591.825
-3.33173,-1111.91
-3.99219,-1580.63
-4.85915,-1950.34
-5.8742,-2181.43
-6.96218,-2245.39
-8.0372,-2126.96
-9.00938,-1825.21
-9.79189,-1353.47
-10.3077,-738.168
-10.4954,-16.666
-10.314,765.695
-9.74588,1559.1
-8.79793,2313.03
-7.50125,2980
-5.90865,3518.97
-4.09083,3898.16
-2.13126,4097.15
-0.120386,4108.04
1.8506,3935.61
3.69582,3596.63
5.3402,3118.25
6.72401,2535.75
7.80618,1889.8
8.5662,1223.45
9.00455,579.109
9.14169,-4.24666
9.01576,-493.488
8.67928,-863.165
8.19504,-1096.7
7.63167,-1186.87
7.05904,-1135.65
6.544,-953.394
6.1465,-657.608
5.91656,-271.299
5.89196,178.809
6.09691,664.122
6.54156,1155.89
7.22229,1626.74
8.1227,2051.83
9.21508,2409.78
10.4622,2683.14
11.8194,2858.63
13.2364,2927.11
14.6596,2883.34
16.0336,2725.78
17.3033,2456.21
18.4148,2079.52
19.3179,1603.57
19.9664,1039.17
20.3205,400.038
20.3476,-297.042
20.0242,-1032.23
19.3371,-1782.68
18.285,-2522.79
16.8796,-3224.71
15.1468,-3859.13
13.1268,-4396.42
10.8739,-4807.98
8.45616,-5067.94
5.95295,-5154.86
3.4528,-5053.51
1.04978,-4756.5
-1.16061,-4265.6
-3.08615,-3592.57
-4.64288,-2759.52
-5.7601,-1798.46
-6.38497,-750.297
-6.48642,336.999
-6.05807,1410.76
-5.1198,2416.54
-3.71789,3301.29
-1.92348,4016.71
0.17049,4522.4
2.45389,4788.68
4.80517,4798.8
7.09806,4550.38
9.20877,4055.88
11.0231,3342.17
12.4433,2449.06
13.3937,1426.93
13.8252,333.639
13.718,-769.122
13.0826,-1819.77
11.9588,-2760.75
10.4126,-3542.19
8.53204,-4124.96
6.42098,-4483.05
4.19259,-4604.91
1.962,-4493.8
-0.160738,-4167.13
-2.07718,-3654.71
-3.706,-2996.33
-4.98709,-2238.57
-5.88405,-1431.32
-6.3849,-624.163
-6.5011,137.023
-6.265,813.041
-5.72595,1373.68
-4.94556,1799.22
-3.99235,2081.01
-2.93643,2221.15
-1.84445,2231.37
-0.775364,2131.13
0.222794,1945.32
1.11493,1701.57
1.87959,1427.65
2.50837,1148.96
3.0043,886.564
3.37932,655.693
3.6512,465.014
3.84034,316.589
