pressure,flow
-0.350534,-5.88452
-0.440644,-5.6403
-0.526511,-5.34177
-0.607307,-4.99179
-0.682254,-4.59373
-0.75063,-4.15144
-0.811778,-3.66917
-0.865108,-3.15156
-0.910106,-2.6036
-0.946339,-2.03056
-0.973459,-1.43797
-0.991204,-0.831535
-0.999403,-0.217088
-0.997977,0.399449
-0.98694,1.01214
-0.966399,1.61508
-0.93655,2.20247
-0.897682,2.76865
-0.850168,3.30816
-0.794468,3.81582
-0.731116,4.28673
-0.660723,4.71635
-0.583966,5.10055
-0.501586,5.43563
-0.414376,5.71836
-0.323174,5.94603
-0.228861,6.11642
-0.132343,6.22792
-0.0345506,6.27943
0.0635743,6.27048
0.161087,6.20113
0.257048,6.07206
0.350534,5.88452
0.440644,5.6403
0.526511,5.34177
0.607307,4.99179
0.682254,4.59373
0.75063,4.15144
0.811778,3.66917
0.865108,3.15156
0.910106,2.6036
0.946339,2.03056
0.973459,1.43797
0.991204,0.831535
0.999403,0.217088
0.997977,-0.399449
0.98694,-1.01214
0.966399,-1.61508
0.93655,-2.20247
0.897682,-2.76865
0.850168,-3.30816
0.794468,-3.81582
0.731116,-4.28673
0.660723,-4.71635
0.583966,-5.10055
0.501586,-5.43563
0.414376,-5.71836
0.323174,-5.94603
0.228861,-6.11642
0.132343,-6.22792
0.0345506,-6.27943
-0.0635743,-6.27048
-0.161087,-6.20113
-0.257048,-6.07206
-0.350534,-5.88452
-0.440644,-5.6403
-0.526511,-5.34177
-0.607307,-4.99179
-0.682254,-4.59373
-0.75063,-4.15144
-0.811778,-3.66917
-0.865108,-3.15156
-0.910106,-2.6036
-0.946339,-2.03056
-0.973459,-1.43797
-0.991204,-0.831535
-0.999403,-0.217088
-0.997977,0.399449
-0.98694,1.01214
-0.966399,1.61508
-0.93655,2.20247
-0.897682,2.76865
-0.850168,3.30816
-0.794468,3.81582
-0.731116,4.28673
-0.660723,4.71635
-0.583966,5.10055
-0.501586,5.43563
-0.414376,5.71836
-0.323174,5.94603
-0.228861,6.11642
-0.132343,6.22792
-0.0345506,6.27943
0.0635743,6.27048
0.161087,6.20113
0.257048,6.07206
0.350534,5.88452
0.440644,5.6403
0.526511,5.34177
0.607307,4.99179
0.682254,4.59373
0.75063,4.15144
0.811778,3.66917
0.865108,3.15156
0.910106,2.6036
0.946339,2.03056
0.973459,1.43797
0.991204,0.831535
0.999403,0.217088
0.997977,-0.399449
0.98694,-1.01214
0.966399,-1.61508
0.93655,-2.20247
0.897682,-2.76865
0.850168,-3.30816
0.794468,-3.81582
0.731116,-4.28673
0.660723,-4.71635
0.583966,-5.10055
0.501586,-5.43563
0.414376,-5.71836
0.323174,-5.94603
0.228861,-6.11642
0.132343,-6.22792
0.0345506,-6.27943
-0.0635743,-6.27048
-0.161087,-6.20113
-0.257048,-6.07206
